response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,sales_channel,vehicle_class
No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Web,Four-Door Car
No,Basic,College,Unemployed,M,Suburban,Single,Corporate Auto,Agent,SUV
No,Extended,Bachelor,Employed,F,Suburban,Single,Personal Auto,Branch,Two-Door Car
No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Agent,Two-Door Car
No,Basic,College,Employed,F,Rural,Divorced,Personal Auto,Web,Four-Door Car
No,Extended,College,Employed,M,Rural,Divorced,Personal Auto,Call Center,SUV
Yes,Basic,Master,Employed,M,Rural,Single,Personal Auto,Agent,Sports Car
No,Premium,Master,Employed,F,Urban,Married,Personal Auto,Branch,Four-Door Car
No,Premium,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Agent,SUV
No,Extended,Bachelor,Disabled,F,Rural,Divorced,Corporate Auto,Branch,Sports Car
No,Basic,Bachelor,Employed,F,Rural,Single,Personal Auto,Branch,Four-Door Car
Yes,Basic,Master,Disabled,M,Suburban,Divorced,Corporate Auto,Call Center,Four-Door Car
Yes,Extended,Doctor,Employed,M,Rural,Divorced,Corporate Auto,Branch,Four-Door Car
Yes,Basic,College,Employed,F,Rural,Married,Personal Auto,Branch,SUV
No,Extended,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Agent,Four-Door Car
No,Extended,High School or Below,Medical Leave,F,Suburban,Married,Personal Auto,Agent,Sports Car
No,Basic,Doctor,Unemployed,M,Rural,Married,Personal Auto,Call Center,Four-Door Car
No,Extended,Bachelor,Disabled,M,Urban,Married,Personal Auto,Agent,SUV
No,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Call Center,Two-Door Car
No,Basic,College,Employed,M,Rural,Married,Personal Auto,Call Center,Two-Door Car
No,Basic,College,Employed,M,Urban,Divorced,Corporate Auto,Agent,SUV
No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Branch,Two-Door Car
No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Branch,Luxury
No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Branch,Four-Door Car
No,Basic,College,Employed,M,Rural,Married,Personal Auto,Branch,Four-Door Car
No,Extended,College,Employed,M,Suburban,Single,Corporate Auto,Web,Four-Door Car
No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Agent,Two-Door Car
No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Agent,Two-Door Car
Yes,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Branch,Four-Door Car
No,Basic,Bachelor,Employed,M,Urban,Married,Corporate Auto,Agent,SUV
No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Branch,Four-Door Car
No,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,Agent,SUV
No,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Agent,SUV
No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Agent,Four-Door Car
No,Premium,High School or Below,Employed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Doctor,Medical Leave,M,Rural,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Unemployed,F,Suburban,Single,Special Auto,Call Center,Luxury
No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Branch,SUV
No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Call Center,Two-Door Car
No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Branch,Two-Door Car
No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Basic,High School or Below,Disabled,F,Suburban,Married,Special Auto,Agent,Sports Car
No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Agent,Luxury
No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Branch,Two-Door Car
No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
No,Basic,College,Employed,F,Urban,Married,Personal Auto,Call Center,Four-Door Car
No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
Yes,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Agent,Four-Door Car
No,Extended,High School or Below,Employed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
No,Basic,High School or Below,Employed,F,Suburban,Divorced,Corporate Auto,Agent,Four-Door Car
No,Basic,High School or Below,Employed,M,Urban,Divorced,Corporate Auto,Branch,Four-Door Car
No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Branch,Four-Door Car
No,Basic,Master,Employed,F,Rural,Married,Corporate Auto,Call Center,Four-Door Car
Yes,Extended,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
No,Basic,High School or Below,Disabled,F,Suburban,Married,Special Auto,Web,Two-Door Car
Yes,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Agent,Two-Door Car
No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Branch,Four-Door Car
Yes,Basic,College,Employed,M,Urban,Married,Personal Auto,Web,Four-Door Car
No,Basic,College,Unemployed,F,Suburban,Married,Special Auto,Branch,Two-Door Car
No,Extended,Doctor,Employed,F,Rural,Married,Personal Auto,Branch,Four-Door Car
No,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Corporate Auto,Call Center,SUV
Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Web,Two-Door Car
No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Agent,Four-Door Car
No,Extended,College,Employed,F,Rural,Single,Special Auto,Agent,Two-Door Car
No,Extended,College,Employed,F,Urban,Married,Personal Auto,Branch,SUV
No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Agent,Sports Car
No,Basic,College,Employed,M,Urban,Married,Personal Auto,Web,SUV
No,Basic,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Agent,Four-Door Car
No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Web,Luxury
No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Branch,Two-Door Car
No,Premium,High School or Below,Medical Leave,F,Suburban,Divorced,Personal Auto,Branch,Four-Door Car
No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Branch,SUV
No,Extended,College,Unemployed,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Branch,Four-Door Car
No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Agent,SUV
Yes,Basic,Bachelor,Employed,M,Suburban,Divorced,Corporate Auto,Branch,Two-Door Car
No,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Agent,Luxury
No,Extended,Bachelor,Unemployed,F,Rural,Married,Personal Auto,Call Center,Four-Door Car
No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Agent,Two-Door Car
No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Branch,Two-Door Car
Yes,Premium,Bachelor,Employed,F,Suburban,Single,Personal Auto,Branch,Two-Door Car
Yes,Basic,College,Employed,F,Urban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Doctor,Employed,F,Rural,Married,Personal Auto,Branch,Sports Car
No,Premium,Bachelor,Employed,F,Rural,Married,Personal Auto,Agent,Two-Door Car
No,Basic,Bachelor,Employed,F,Rural,Divorced,Corporate Auto,Agent,Four-Door Car
No,Basic,Bachelor,Employed,F,Rural,Divorced,Corporate Auto,Web,Two-Door Car
No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Agent,SUV
No,Extended,College,Employed,F,Rural,Married,Personal Auto,Branch,Four-Door Car
No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Branch,Two-Door Car
No,Basic,High School or Below,Employed,M,Suburban,Married,Special Auto,Call Center,SUV
No,Basic,College,Disabled,M,Urban,Married,Personal Auto,Agent,SUV
No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Branch,Two-Door Car
No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Branch,Two-Door Car
No,Basic,College,Unemployed,F,Suburban,Married,Corporate Auto,Agent,Four-Door Car
No,Basic,College,Employed,F,Rural,Married,Corporate Auto,Agent,Four-Door Car
No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Call Center,SUV
No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Branch,Luxury
No,Extended,College,Employed,F,Rural,Divorced,Personal Auto,Agent,Sports Car
No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Call Center,Two-Door Car
Yes,Basic,College,Retired,F,Suburban,Married,Personal Auto,Branch,Two-Door Car
Yes,Extended,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Agent,SUV
No,Basic,College,Employed,M,Rural,Divorced,Personal Auto,Web,SUV
No,Extended,High School or Below,Employed,F,Suburban,Single,Personal Auto,Agent,Sports Car
No,Basic,High School or Below,Employed,M,Rural,Married,Corporate Auto,Agent,Four-Door Car
No,Basic,Master,Employed,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Premium,College,Employed,F,Rural,Divorced,Personal Auto,Call Center,Sports Car
No,Basic,College,Employed,M,Urban,Divorced,Personal Auto,Agent,SUV
No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
Yes,Basic,Doctor,Employed,F,Urban,Married,Corporate Auto,Branch,Four-Door Car
No,Extended,Bachelor,Employed,F,Rural,Married,Corporate Auto,Branch,Two-Door Car
No,Basic,College,Employed,M,Rural,Married,Personal Auto,Agent,Luxury
No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,Call Center,SUV
No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Disabled,F,Suburban,Divorced,Corporate Auto,Branch,SUV
No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Call Center,SUV
No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Branch,Four-Door Car
Yes,Extended,College,Retired,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Agent,Two-Door Car
No,Basic,Bachelor,Unemployed,F,Rural,Divorced,Personal Auto,Agent,SUV
No,Premium,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Agent,Two-Door Car
No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Branch,Four-Door Car
No,Basic,High School or Below,Unemployed,F,Rural,Married,Personal Auto,Web,Four-Door Car
No,Premium,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Agent,Four-Door Car
No,Basic,Master,Employed,F,Suburban,Married,Personal Auto,Agent,Sports Car
No,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Basic,Bachelor,Disabled,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Extended,High School or Below,Disabled,F,Suburban,Divorced,Special Auto,Agent,Four-Door Car
Yes,Basic,Doctor,Employed,M,Rural,Divorced,Personal Auto,Agent,Four-Door Car
No,Extended,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Call Center,Four-Door Car
Yes,Basic,College,Employed,M,Rural,Married,Personal Auto,Branch,Four-Door Car
Yes,Basic,College,Unemployed,M,Suburban,Married,Corporate Auto,Branch,SUV
Yes,Extended,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Agent,Two-Door Car
No,Extended,Master,Employed,M,Rural,Married,Corporate Auto,Agent,Four-Door Car
No,Extended,Master,Employed,M,Urban,Divorced,Personal Auto,Agent,Two-Door Car
No,Extended,Bachelor,Employed,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Web,Four-Door Car
No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Agent,Sports Car
No,Basic,Bachelor,Unemployed,F,Suburban,Single,Special Auto,Web,Four-Door Car
No,Extended,College,Employed,M,Suburban,Divorced,Corporate Auto,Branch,Four-Door Car
No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Web,Four-Door Car
No,Premium,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Agent,Two-Door Car
No,Basic,Master,Employed,M,Urban,Married,Personal Auto,Call Center,SUV
No,Extended,Doctor,Unemployed,F,Suburban,Divorced,Personal Auto,Web,SUV
No,Extended,Bachelor,Employed,F,Urban,Married,Personal Auto,Call Center,Four-Door Car
No,Extended,Master,Employed,F,Rural,Married,Personal Auto,Agent,SUV
No,Extended,College,Unemployed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
Yes,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,Agent,SUV
No,Basic,High School or Below,Employed,F,Rural,Divorced,Personal Auto,Call Center,Four-Door Car
No,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Agent,Four-Door Car
No,Extended,Master,Employed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Master,Employed,M,Rural,Married,Special Auto,Branch,Four-Door Car
Yes,Extended,High School or Below,Retired,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
Yes,Basic,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,Web,Four-Door Car
Yes,Premium,High School or Below,Employed,F,Suburban,Married,Personal Auto,Call Center,Two-Door Car
Yes,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Call Center,Two-Door Car
No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Agent,Two-Door Car
No,Basic,College,Employed,F,Rural,Married,Personal Auto,Web,Two-Door Car
No,Basic,Master,Employed,F,Urban,Married,Personal Auto,Call Center,Four-Door Car
Yes,Basic,Master,Employed,M,Rural,Divorced,Personal Auto,Branch,Four-Door Car
No,Basic,High School or Below,Retired,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Branch,Four-Door Car
No,Basic,College,Employed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Branch,Four-Door Car
No,Extended,Doctor,Employed,F,Suburban,Married,Personal Auto,Agent,SUV
No,Extended,College,Unemployed,F,Rural,Married,Personal Auto,Branch,SUV
No,Basic,High School or Below,Employed,F,Rural,Married,Personal Auto,Branch,SUV
Yes,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Agent,Two-Door Car
No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Agent,SUV
No,Premium,High School or Below,Employed,F,Suburban,Married,Personal Auto,Call Center,SUV
Yes,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Branch,SUV
No,Extended,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,Branch,SUV
No,Extended,College,Unemployed,F,Rural,Married,Personal Auto,Web,Two-Door Car
No,Extended,High School or Below,Employed,M,Urban,Single,Personal Auto,Web,Two-Door Car
No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
No,Basic,College,Employed,M,Suburban,Divorced,Corporate Auto,Agent,Four-Door Car
No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Branch,Four-Door Car
No,Extended,Bachelor,Disabled,F,Rural,Married,Corporate Auto,Agent,Four-Door Car
No,Extended,Master,Employed,M,Rural,Married,Personal Auto,Web,Two-Door Car
Yes,Extended,College,Employed,F,Suburban,Married,Personal Auto,Agent,Two-Door Car
No,Extended,High School or Below,Employed,F,Suburban,Divorced,Personal Auto,Branch,Four-Door Car
No,Basic,College,Employed,M,Urban,Married,Personal Auto,Agent,Four-Door Car
No,Extended,Bachelor,Employed,M,Rural,Single,Corporate Auto,Agent,Two-Door Car
Yes,Basic,Master,Disabled,F,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
No,Extended,College,Employed,F,Rural,Married,Personal Auto,Call Center,Four-Door Car
No,Extended,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Branch,Four-Door Car
No,Basic,College,Disabled,M,Urban,Married,Special Auto,Call Center,Four-Door Car
No,Extended,College,Medical Leave,F,Urban,Divorced,Corporate Auto,Agent,Two-Door Car
No,Extended,College,Employed,M,Urban,Single,Personal Auto,Branch,Four-Door Car
No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Agent,Four-Door Car
No,Premium,Bachelor,Medical Leave,F,Suburban,Single,Corporate Auto,Web,Two-Door Car
Yes,Basic,High School or Below,Medical Leave,M,Suburban,Single,Personal Auto,Call Center,Four-Door Car
No,Extended,Bachelor,Employed,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
No,Extended,Bachelor,Employed,M,Urban,Divorced,Personal Auto,Branch,Four-Door Car
No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Web,Luxury
No,Basic,Bachelor,Disabled,M,Suburban,Married,Corporate Auto,Branch,Sports Car
No,Premium,College,Unemployed,F,Suburban,Single,Personal Auto,Branch,Four-Door Car
No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Retired,M,Suburban,Married,Personal Auto,Web,Sports Car
No,Extended,High School or Below,Employed,F,Suburban,Married,Personal Auto,Agent,SUV
Yes,Premium,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Web,SUV
No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Branch,SUV
No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Agent,Sports Car
No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Agent,Two-Door Car
No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Call Center,SUV
No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Web,Four-Door Car
No,Basic,Bachelor,Employed,M,Urban,Married,Corporate Auto,Branch,Two-Door Car
No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,College,Employed,F,Suburban,Married,Corporate Auto,Web,Four-Door Car
No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Agent,SUV
No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Agent,Luxury
No,Basic,High School or Below,Unemployed,M,Suburban,Divorced,Personal Auto,Call Center,Luxury
No,Basic,Master,Employed,F,Suburban,Single,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Agent,Two-Door Car
No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Call Center,Four-Door Car
No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Web,Two-Door Car
No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Web,Four-Door Car
No,Basic,College,Disabled,M,Rural,Married,Personal Auto,Branch,Sports Car
No,Extended,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Unemployed,F,Suburban,Married,Corporate Auto,Agent,Four-Door Car
No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Branch,Four-Door Car
No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Web,Luxury
No,Basic,Master,Unemployed,F,Suburban,Married,Corporate Auto,Call Center,Four-Door Car
No,Extended,Bachelor,Employed,F,Suburban,Divorced,Corporate Auto,Call Center,Four-Door Car
No,Basic,Bachelor,Disabled,F,Rural,Married,Corporate Auto,Call Center,Two-Door Car
No,Extended,Bachelor,Employed,F,Rural,Married,Personal Auto,Branch,Four-Door Car
No,Basic,College,Unemployed,M,Suburban,Single,Special Auto,Web,SUV
No,Extended,Master,Employed,M,Suburban,Married,Corporate Auto,Branch,Four-Door Car
No,Basic,Master,Employed,M,Urban,Single,Personal Auto,Call Center,Four-Door Car
No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Agent,Luxury
No,Premium,High School or Below,Employed,M,Suburban,Single,Personal Auto,Agent,Four-Door Car
No,Basic,College,Unemployed,F,Suburban,Single,Special Auto,Web,Two-Door Car
No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Agent,Two-Door Car
No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Call Center,Two-Door Car
No,Basic,College,Employed,M,Rural,Married,Personal Auto,Call Center,Four-Door Car
Yes,Basic,Doctor,Employed,M,Suburban,Married,Special Auto,Agent,SUV
Yes,Basic,High School or Below,Employed,F,Urban,Single,Personal Auto,Agent,SUV
No,Basic,Bachelor,Employed,F,Rural,Single,Personal Auto,Agent,Four-Door Car
No,Extended,High School or Below,Employed,F,Suburban,Single,Personal Auto,Web,SUV
No,Extended,High School or Below,Disabled,F,Suburban,Married,Corporate Auto,Agent,Two-Door Car
No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Web,SUV
No,Premium,Master,Employed,F,Suburban,Married,Personal Auto,Agent,Two-Door Car
Yes,Extended,College,Employed,F,Urban,Married,Corporate Auto,Branch,Four-Door Car
No,Basic,Doctor,Unemployed,M,Rural,Married,Personal Auto,Branch,Two-Door Car
No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Call Center,Four-Door Car
No,Extended,Bachelor,Employed,M,Suburban,Married,Personal Auto,Agent,Two-Door Car
No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Branch,SUV
Yes,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Branch,SUV
No,Extended,Bachelor,Employed,F,Suburban,Single,Personal Auto,Branch,Four-Door Car
Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Agent,SUV
No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Branch,Four-Door Car
No,Basic,Bachelor,Employed,F,Urban,Divorced,Personal Auto,Agent,Four-Door Car
No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Extended,College,Disabled,M,Suburban,Married,Personal Auto,Branch,Four-Door Car
No,Premium,Bachelor,Employed,M,Rural,Married,Corporate Auto,Web,SUV
Yes,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Agent,SUV
No,Basic,College,Retired,M,Suburban,Married,Personal Auto,Web,SUV
Yes,Basic,College,Employed,M,Rural,Married,Personal Auto,Branch,Four-Door Car
No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Web,Sports Car
No,Basic,High School or Below,Medical Leave,F,Rural,Married,Corporate Auto,Branch,Sports Car
No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Web,Sports Car
No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Web,Luxury
Yes,Extended,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Agent,Luxury
No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
No,Premium,Bachelor,Employed,F,Urban,Married,Personal Auto,Agent,Sports Car
No,Basic,College,Employed,F,Suburban,Single,Corporate Auto,Branch,SUV
No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Branch,Four-Door Car
No,Basic,College,Employed,M,Rural,Single,Personal Auto,Branch,Two-Door Car
Yes,Extended,College,Unemployed,M,Suburban,Single,Personal Auto,Agent,SUV
Yes,Premium,High School or Below,Employed,M,Suburban,Divorced,Corporate Auto,Agent,Luxury
Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Call Center,Four-Door Car
No,Extended,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
No,Extended,Bachelor,Employed,F,Suburban,Married,Personal Auto,Agent,Four-Door Car
Yes,Basic,College,Medical Leave,F,Suburban,Single,Personal Auto,Web,Two-Door Car
No,Basic,High School or Below,Employed,F,Rural,Single,Personal Auto,Branch,Four-Door Car
No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Personal Auto,Branch,SUV
Yes,Basic,College,Medical Leave,F,Suburban,Single,Personal Auto,Web,Two-Door Car
Yes,Basic,Master,Disabled,M,Suburban,Divorced,Personal Auto,Call Center,Four-Door Car
No,Basic,Master,Disabled,F,Suburban,Divorced,Corporate Auto,Agent,Two-Door Car
No,Basic,Bachelor,Employed,M,Rural,Divorced,Personal Auto,Web,Four-Door Car
No,Premium,College,Employed,M,Rural,Married,Personal Auto,Call Center,Four-Door Car
No,Basic,High School or Below,Unemployed,M,Suburban,Divorced,Personal Auto,Branch,SUV
No,Extended,College,Disabled,M,Suburban,Married,Personal Auto,Web,SUV
No,Basic,Doctor,Employed,F,Rural,Married,Personal Auto,Agent,Four-Door Car
No,Basic,College,Employed,M,Urban,Divorced,Personal Auto,Branch,Four-Door Car
Yes,Extended,Bachelor,Employed,F,Suburban,Divorced,Personal Auto,Agent,Luxury
Yes,Basic,Bachelor,Employed,M,Suburban,Single,Corporate Auto,Agent,Four-Door Car
Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
No,Extended,Bachelor,Disabled,M,Suburban,Single,Personal Auto,Branch,Sports Car
No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Branch,SUV
No,Basic,Master,Medical Leave,M,Rural,Married,Personal Auto,Agent,Four-Door Car
Yes,Extended,Doctor,Employed,M,Suburban,Divorced,Personal Auto,Agent,Sports Car
Yes,Extended,College,Employed,M,Suburban,Single,Personal Auto,Agent,Luxury
Yes,Basic,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Basic,High School or Below,Disabled,F,Suburban,Married,Personal Auto,Branch,Two-Door Car
No,Premium,Master,Employed,F,Rural,Married,Personal Auto,Branch,Two-Door Car
No,Basic,College,Employed,F,Urban,Married,Personal Auto,Agent,Four-Door Car
Yes,Basic,Bachelor,Disabled,F,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Premium,Master,Employed,F,Rural,Married,Corporate Auto,Agent,Four-Door Car
Yes,Basic,College,Employed,M,Urban,Single,Personal Auto,Agent,Four-Door Car
No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Corporate Auto,Agent,Four-Door Car
No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Call Center,Four-Door Car
No,Basic,Bachelor,Unemployed,F,Rural,Divorced,Corporate Auto,Web,Four-Door Car
No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate Auto,Branch,Two-Door Car
No,Basic,College,Disabled,M,Suburban,Divorced,Personal Auto,Agent,Four-Door Car
Yes,Basic,Bachelor,Employed,F,Urban,Married,Corporate Auto,Branch,SUV
No,Basic,College,Unemployed,F,Suburban,Divorced,Corporate Auto,Branch,Two-Door Car
No,Extended,Bachelor,Employed,M,Urban,Married,Corporate Auto,Web,SUV
No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Agent,Two-Door Car
No,Extended,College,Unemployed,F,Suburban,Married,Personal Auto,Web,Luxury
No,Basic,Bachelor,Unemployed,M,Suburban,Married,Personal Auto,Agent,Four-Door Car
