,Effective To Date
2897,2011-01-02
2898,2011-01-17
2899,2011-01-02
2900,2011-01-31
2901,2011-02-27
2902,2011-01-15
2903,2011-01-23
2904,2011-02-13
2905,2011-01-08
2906,2011-02-02
2907,2011-02-04
2908,2011-01-06
2909,2011-01-11
2910,2011-02-21
2911,2011-01-17
2912,2011-02-28
2913,2011-02-22
2914,2011-02-14
2915,2011-01-14
2916,2011-01-03
2917,2011-02-01
2918,2011-01-27
2919,2011-02-28
2920,2011-02-12
2921,2011-01-07
2922,2011-02-07
2923,2011-02-28
2924,2011-02-12
2925,2011-02-11
2926,2011-01-13
2927,2011-01-15
2928,2011-01-16
2929,2011-02-11
2930,2011-02-24
2931,2011-01-06
2932,2011-01-05
2933,2011-01-25
2934,2011-01-02
2935,2011-02-07
2936,2011-02-24
2937,2011-01-28
2938,2011-01-09
2939,2011-01-08
2940,2011-02-04
2941,2011-02-27
2942,2011-02-06
2943,2011-02-13
2944,2011-01-03
2945,2011-01-19
2946,2011-01-26
2947,2011-01-27
2948,2011-01-17
2949,2011-01-22
2950,2011-01-11
2951,2011-01-31
2952,2011-01-08
2953,2011-01-22
2954,2011-02-18
2955,2011-01-21
2956,2011-02-20
2957,2011-01-30
2958,2011-01-13
2959,2011-01-04
2960,2011-02-02
2961,2011-02-03
2962,2011-02-27
2963,2011-02-13
2964,2011-02-28
2965,2011-02-09
2966,2011-02-28
2967,2011-01-24
2968,2011-02-11
2969,2011-02-20
2970,2011-01-14
2971,2011-01-16
2972,2011-02-18
2973,2011-01-13
2974,2011-01-21
2975,2011-01-01
2976,2011-02-06
2977,2011-01-31
2978,2011-01-23
2979,2011-02-05
2980,2011-01-16
2981,2011-02-08
2982,2011-01-19
2983,2011-01-23
2984,2011-01-25
2985,2011-01-15
2986,2011-01-11
2987,2011-02-01
2988,2011-02-21
2989,2011-02-01
2990,2011-01-19
2991,2011-01-07
2992,2011-01-03
2993,2011-02-28
2994,2011-02-17
2995,2011-01-31
2996,2011-01-16
2997,2011-01-26
2998,2011-02-24
2999,2011-01-09
3000,2011-01-23
3001,2011-01-19
3002,2011-01-10
3003,2011-01-25
3004,2011-02-02
3005,2011-02-01
3006,2011-02-24
3007,2011-01-21
3008,2011-02-13
3009,2011-01-02
3010,2011-01-16
3011,2011-01-13
3012,2011-01-11
3013,2011-01-03
3014,2011-02-04
3015,2011-02-12
3016,2011-01-08
3017,2011-02-04
3018,2011-01-10
3019,2011-02-21
3020,2011-01-08
3021,2011-02-26
3022,2011-02-04
3023,2011-02-20
3024,2011-01-26
3025,2011-01-21
3026,2011-02-17
3027,2011-01-07
3028,2011-01-26
3029,2011-01-24
3030,2011-01-11
3031,2011-01-22
3032,2011-02-11
3033,2011-01-04
3034,2011-02-05
3035,2011-02-25
3036,2011-02-27
3037,2011-02-17
3038,2011-02-06
3039,2011-02-23
3040,2011-01-12
3041,2011-02-10
3042,2011-01-23
3043,2011-02-03
3044,2011-01-12
3045,2011-01-19
3046,2011-02-01
3047,2011-01-28
3048,2011-01-10
3049,2011-01-25
3050,2011-02-10
3051,2011-02-26
3052,2011-02-12
3053,2011-02-01
3054,2011-01-02
3055,2011-01-16
3056,2011-01-04
3057,2011-01-28
3058,2011-02-07
3059,2011-02-18
3060,2011-02-04
3061,2011-01-17
3062,2011-01-09
3063,2011-02-09
3064,2011-02-14
3065,2011-01-06
3066,2011-01-05
3067,2011-02-19
3068,2011-02-21
3069,2011-02-17
3070,2011-02-25
3071,2011-02-10
3072,2011-01-25
3073,2011-02-25
3074,2011-01-26
3075,2011-01-28
3076,2011-01-26
3077,2011-02-08
3078,2011-01-22
3079,2011-01-16
3080,2011-02-04
3081,2011-02-01
3082,2011-01-29
3083,2011-02-16
3084,2011-01-28
3085,2011-02-01
3086,2011-01-02
3087,2011-01-01
3088,2011-02-19
3089,2011-01-19
3090,2011-02-24
3091,2011-02-17
3092,2011-01-05
3093,2011-01-10
3094,2011-01-08
3095,2011-02-02
3096,2011-02-09
3097,2011-02-07
3098,2011-01-21
3099,2011-01-07
3100,2011-02-27
3101,2011-01-14
3102,2011-02-07
3103,2011-01-21
3104,2011-01-07
3105,2011-01-03
3106,2011-01-31
3107,2011-02-03
3108,2011-01-30
3109,2011-02-06
3110,2011-02-11
3111,2011-01-23
3112,2011-02-14
3113,2011-02-08
3114,2011-02-13
3115,2011-01-27
3116,2011-02-26
3117,2011-01-31
3118,2011-01-03
3119,2011-01-02
3120,2011-02-21
3121,2011-01-01
3122,2011-02-18
3123,2011-02-03
3124,2011-01-07
3125,2011-01-23
3126,2011-02-23
3127,2011-01-03
3128,2011-01-25
3129,2011-02-05
3130,2011-01-02
3131,2011-01-27
3132,2011-01-02
3133,2011-02-10
3134,2011-01-26
3135,2011-01-02
3136,2011-02-14
3137,2011-02-12
3138,2011-01-07
3139,2011-02-10
3140,2011-01-01
3141,2011-02-19
3142,2011-01-12
3143,2011-01-10
3144,2011-02-11
3145,2011-01-08
3146,2011-01-26
3147,2011-02-04
3148,2011-02-02
3149,2011-01-28
3150,2011-01-01
3151,2011-02-22
3152,2011-02-08
3153,2011-02-15
3154,2011-01-23
3155,2011-01-31
3156,2011-02-13
3157,2011-01-06
3158,2011-01-03
3159,2011-01-18
3160,2011-01-03
3161,2011-02-09
3162,2011-01-16
3163,2011-02-09
3164,2011-01-25
3165,2011-01-27
3166,2011-02-26
3167,2011-02-14
3168,2011-01-14
3169,2011-01-19
3170,2011-02-05
3171,2011-02-23
3172,2011-01-30
3173,2011-02-14
3174,2011-01-08
3175,2011-01-03
3176,2011-01-08
3177,2011-01-03
3178,2011-02-26
3179,2011-01-20
3180,2011-01-10
3181,2011-01-08
3182,2011-01-20
3183,2011-02-03
3184,2011-02-13
3185,2011-01-08
3186,2011-02-03
3187,2011-01-15
3188,2011-01-27
3189,2011-02-17
3190,2011-01-13
3191,2011-02-02
3192,2011-01-13
3193,2011-01-03
3194,2011-01-28
3195,2011-02-05
3196,2011-01-04
3197,2011-01-26
3198,2011-01-15
3199,2011-01-01
3200,2011-01-20
3201,2011-01-26
3202,2011-02-01
3203,2011-01-09
3204,2011-01-23
3205,2011-02-07
3206,2011-01-07
3207,2011-02-24
3208,2011-02-26
3209,2011-01-03
3210,2011-02-01
3211,2011-01-30
3212,2011-01-09
3213,2011-02-24
3214,2011-01-04
3215,2011-02-04
3216,2011-02-21
3217,2011-02-04
3218,2011-02-22
3219,2011-01-19
3220,2011-02-25
3221,2011-01-22
3222,2011-01-22
3223,2011-02-19
3224,2011-01-27
3225,2011-01-28
3226,2011-02-19
3227,2011-01-05
3228,2011-01-09
3229,2011-01-10
3230,2011-01-29
3231,2011-02-21
3232,2011-02-03
3233,2011-01-27
3234,2011-02-19
3235,2011-01-30
3236,2011-01-01
3237,2011-01-01
3238,2011-02-20
3239,2011-02-21
3240,2011-01-24
3241,2011-01-15
3242,2011-01-20
3243,2011-02-08
3244,2011-01-08
3245,2011-01-09
3246,2011-02-12
3247,2011-02-20
3248,2011-02-19
3249,2011-01-03
3250,2011-02-01
3251,2011-01-17
3252,2011-01-17
3253,2011-02-21
3254,2011-02-26
3255,2011-01-08
3256,2011-01-21
3257,2011-02-02
3258,2011-01-13
3259,2011-02-26
3260,2011-02-14
3261,2011-01-21
3262,2011-02-09
3263,2011-02-14
3264,2011-02-27
3265,2011-01-15
3266,2011-01-19
3267,2011-02-12
3268,2011-01-31
3269,2011-01-13
3270,2011-02-22
3271,2011-01-29
3272,2011-02-13
3273,2011-01-12
3274,2011-01-11
3275,2011-02-12
3276,2011-02-14
3277,2011-02-01
3278,2011-01-30
3279,2011-01-14
3280,2011-01-28
3281,2011-02-24
3282,2011-01-18
3283,2011-01-04
3284,2011-01-17
3285,2011-02-08
3286,2011-01-09
3287,2011-01-26
3288,2011-02-28
3289,2011-01-01
3290,2011-02-11
3291,2011-02-13
3292,2011-01-15
3293,2011-01-10
3294,2011-01-23
3295,2011-02-04
3296,2011-02-26
3297,2011-01-05
3298,2011-01-16
3299,2011-02-04
3300,2011-01-15
3301,2011-01-03
3302,2011-01-10
3303,2011-02-23
3304,2011-02-27
3305,2011-01-27
3306,2011-02-01
3307,2011-01-19
3308,2011-01-26
3309,2011-02-21
3310,2011-01-12
3311,2011-02-27
3312,2011-01-30
3313,2011-01-01
3314,2011-02-02
3315,2011-02-02
3316,2011-02-27
3317,2011-02-18
3318,2011-01-06
3319,2011-01-12
3320,2011-02-17
3321,2011-01-13
3322,2011-01-28
3323,2011-02-09
3324,2011-01-26
3325,2011-01-21
3326,2011-02-25
3327,2011-01-26
3328,2011-01-31
3329,2011-02-26
3330,2011-02-16
3331,2011-01-16
3332,2011-01-04
3333,2011-01-11
3334,2011-02-13
3335,2011-02-14
3336,2011-01-26
3337,2011-02-10
3338,2011-02-06
3339,2011-02-10
3340,2011-01-28
3341,2011-02-03
3342,2011-01-24
3343,2011-01-18
3344,2011-01-03
3345,2011-01-09
3346,2011-01-30
3347,2011-02-12
3348,2011-01-02
3349,2011-01-13
3350,2011-01-11
3351,2011-01-15
3352,2011-02-06
3353,2011-01-03
3354,2011-02-15
3355,2011-01-26
3356,2011-01-29
3357,2011-01-31
3358,2011-01-17
3359,2011-02-07
3360,2011-01-27
3361,2011-02-11
3362,2011-01-28
3363,2011-02-27
3364,2011-02-17
3365,2011-02-11
3366,2011-01-06
3367,2011-02-07
3368,2011-02-26
3369,2011-02-27
3370,2011-01-09
3371,2011-01-03
3372,2011-02-19
3373,2011-02-04
3374,2011-01-13
3375,2011-01-18
3376,2011-02-21
3377,2011-01-05
3378,2011-01-11
3379,2011-02-01
3380,2011-01-13
3381,2011-02-03
3382,2011-01-13
3383,2011-01-03
3384,2011-02-27
3385,2011-01-23
3386,2011-01-28
3387,2011-02-01
3388,2011-02-17
3389,2011-01-23
3390,2011-01-30
3391,2011-02-13
3392,2011-01-26
3393,2011-01-29
3394,2011-01-11
3395,2011-01-20
3396,2011-02-28
3397,2011-01-28
3398,2011-01-22
3399,2011-01-24
3400,2011-01-05
3401,2011-02-12
3402,2011-01-31
3403,2011-02-17
3404,2011-02-03
3405,2011-01-17
3406,2011-01-31
3407,2011-01-15
3408,2011-02-05
3409,2011-01-05
3410,2011-01-13
3411,2011-01-24
3412,2011-01-19
3413,2011-01-26
3414,2011-01-10
3415,2011-01-16
3416,2011-01-28
3417,2011-02-13
3418,2011-02-01
3419,2011-01-31
3420,2011-02-25
3421,2011-02-08
3422,2011-02-17
3423,2011-01-27
3424,2011-01-04
3425,2011-02-14
3426,2011-02-04
3427,2011-01-02
3428,2011-01-24
3429,2011-02-16
3430,2011-02-07
3431,2011-02-02
3432,2011-02-27
3433,2011-02-22
3434,2011-02-21
3435,2011-02-10
3436,2011-02-14
3437,2011-01-24
3438,2011-01-22
3439,2011-01-10
3440,2011-01-31
3441,2011-02-07
3442,2011-01-11
3443,2011-02-26
3444,2011-01-11
3445,2011-02-01
3446,2011-02-11
3447,2011-02-02
3448,2011-01-23
3449,2011-02-16
3450,2011-02-13
3451,2011-01-01
3452,2011-01-25
3453,2011-01-31
3454,2011-01-10
3455,2011-02-06
3456,2011-01-09
3457,2011-02-10
3458,2011-02-03
3459,2011-02-27
3460,2011-01-06
3461,2011-01-23
3462,2011-01-04
3463,2011-01-20
3464,2011-01-16
3465,2011-01-10
3466,2011-02-08
3467,2011-01-13
3468,2011-01-05
3469,2011-01-24
3470,2011-01-16
3471,2011-01-30
3472,2011-01-21
3473,2011-01-17
3474,2011-02-04
3475,2011-01-06
3476,2011-02-21
3477,2011-01-20
3478,2011-01-13
3479,2011-02-15
3480,2011-01-27
3481,2011-02-21
3482,2011-02-01
3483,2011-02-26
3484,2011-01-23
3485,2011-01-21
3486,2011-02-27
3487,2011-01-03
3488,2011-01-05
3489,2011-01-25
3490,2011-01-19
3491,2011-01-19
3492,2011-01-16
3493,2011-02-06
3494,2011-02-22
3495,2011-02-22
3496,2011-02-26
3497,2011-01-12
3498,2011-02-06
3499,2011-01-20
3500,2011-02-28
3501,2011-02-05
3502,2011-02-01
3503,2011-01-11
3504,2011-02-22
3505,2011-01-28
3506,2011-02-13
3507,2011-02-27
3508,2011-01-21
3509,2011-01-21
3510,2011-01-06
3511,2011-02-04
3512,2011-01-15
3513,2011-01-06
3514,2011-02-19
3515,2011-01-20
3516,2011-01-18
3517,2011-02-11
3518,2011-01-29
3519,2011-02-27
3520,2011-01-21
3521,2011-02-14
3522,2011-01-15
3523,2011-01-07
3524,2011-02-21
3525,2011-02-11
3526,2011-02-26
3527,2011-02-27
3528,2011-01-19
3529,2011-02-23
3530,2011-02-12
3531,2011-01-03
3532,2011-02-26
3533,2011-02-08
3534,2011-01-31
3535,2011-02-02
3536,2011-02-07
3537,2011-02-27
3538,2011-02-02
3539,2011-02-06
3540,2011-01-17
3541,2011-01-07
3542,2011-02-15
3543,2011-01-19
3544,2011-01-16
3545,2011-02-06
3546,2011-02-03
3547,2011-01-03
3548,2011-01-12
3549,2011-01-07
3550,2011-01-14
3551,2011-02-21
3552,2011-02-05
3553,2011-02-25
3554,2011-02-15
3555,2011-02-24
3556,2011-01-02
3557,2011-02-27
3558,2011-01-30
3559,2011-01-15
3560,2011-02-18
3561,2011-01-10
3562,2011-01-04
3563,2011-01-21
3564,2011-02-13
3565,2011-01-13
3566,2011-02-08
3567,2011-02-05
3568,2011-01-25
3569,2011-01-25
3570,2011-01-27
3571,2011-02-12
3572,2011-01-19
3573,2011-02-21
3574,2011-01-09
3575,2011-02-10
3576,2011-02-12
3577,2011-02-08
3578,2011-01-08
3579,2011-02-12
3580,2011-01-26
3581,2011-02-12
3582,2011-01-27
3583,2011-01-12
3584,2011-02-28
3585,2011-02-03
3586,2011-02-17
3587,2011-01-31
3588,2011-01-30
3589,2011-01-21
3590,2011-02-17
3591,2011-01-29
3592,2011-02-09
3593,2011-01-21
3594,2011-01-10
3595,2011-01-06
3596,2011-01-27
3597,2011-02-20
3598,2011-01-13
3599,2011-02-11
3600,2011-02-19
3601,2011-02-15
3602,2011-01-09
3603,2011-01-09
3604,2011-02-18
3605,2011-02-06
3606,2011-01-06
3607,2011-02-14
3608,2011-02-16
3609,2011-02-03
3610,2011-01-05
3611,2011-02-07
3612,2011-02-03
3613,2011-01-16
3614,2011-01-18
3615,2011-02-10
3616,2011-01-11
3617,2011-02-28
3618,2011-01-05
3619,2011-02-04
3620,2011-02-20
3621,2011-01-17
3622,2011-02-12
3623,2011-01-06
3624,2011-02-21
3625,2011-01-11
3626,2011-02-11
3627,2011-02-05
3628,2011-02-11
3629,2011-01-24
3630,2011-02-25
3631,2011-01-18
3632,2011-01-17
3633,2011-02-28
3634,2011-01-12
3635,2011-01-26
3636,2011-01-29
3637,2011-01-01
3638,2011-01-31
3639,2011-01-01
3640,2011-02-27
3641,2011-02-23
3642,2011-02-03
3643,2011-02-22
3644,2011-02-13
3645,2011-02-13
3646,2011-01-25
3647,2011-01-15
3648,2011-01-03
3649,2011-02-20
3650,2011-02-17
3651,2011-02-12
3652,2011-02-05
3653,2011-02-20
3654,2011-02-13
3655,2011-02-12
3656,2011-01-01
3657,2011-01-04
3658,2011-01-01
3659,2011-02-11
3660,2011-02-04
3661,2011-02-15
3662,2011-02-07
3663,2011-02-22
3664,2011-01-19
3665,2011-02-22
3666,2011-02-27
3667,2011-02-10
3668,2011-02-23
3669,2011-02-06
3670,2011-02-15
3671,2011-01-15
3672,2011-01-19
3673,2011-02-21
3674,2011-02-13
3675,2011-02-04
3676,2011-02-15
3677,2011-02-26
3678,2011-01-14
3679,2011-02-27
3680,2011-01-05
3681,2011-02-26
3682,2011-02-02
3683,2011-02-19
3684,2011-02-21
3685,2011-01-22
3686,2011-02-20
3687,2011-02-28
3688,2011-02-20
3689,2011-02-26
3690,2011-01-12
3691,2011-01-08
3692,2011-02-26
3693,2011-02-07
3694,2011-02-12
3695,2011-01-26
3696,2011-02-27
3697,2011-02-22
3698,2011-02-24
3699,2011-02-26
3700,2011-02-22
3701,2011-01-18
3702,2011-02-03
3703,2011-01-22
3704,2011-01-15
3705,2011-01-24
3706,2011-02-19
3707,2011-01-19
3708,2011-02-27
3709,2011-02-14
3710,2011-02-14
3711,2011-02-08
3712,2011-01-29
3713,2011-02-06
3714,2011-02-28
3715,2011-01-23
3716,2011-01-13
3717,2011-01-24
3718,2011-01-27
3719,2011-02-27
3720,2011-02-14
3721,2011-01-31
3722,2011-01-26
3723,2011-02-11
3724,2011-01-03
3725,2011-01-05
3726,2011-02-21
3727,2011-01-13
3728,2011-01-03
3729,2011-02-02
3730,2011-01-26
3731,2011-02-08
3732,2011-01-27
3733,2011-02-17
3734,2011-01-20
3735,2011-02-22
3736,2011-02-18
3737,2011-01-03
3738,2011-01-15
3739,2011-02-21
3740,2011-01-30
3741,2011-01-23
3742,2011-01-26
3743,2011-02-20
3744,2011-02-13
3745,2011-01-24
3746,2011-02-25
3747,2011-01-26
3748,2011-02-22
3749,2011-01-27
3750,2011-01-03
3751,2011-02-28
3752,2011-02-23
3753,2011-02-18
3754,2011-02-25
3755,2011-02-24
3756,2011-01-18
3757,2011-01-09
3758,2011-02-28
3759,2011-01-21
3760,2011-02-04
3761,2011-01-23
3762,2011-02-15
3763,2011-02-24
3764,2011-02-27
3765,2011-01-11
3766,2011-01-18
3767,2011-01-25
3768,2011-01-10
3769,2011-01-21
3770,2011-02-07
3771,2011-01-26
3772,2011-02-26
3773,2011-01-29
3774,2011-01-04
3775,2011-01-12
3776,2011-01-08
3777,2011-02-14
3778,2011-01-26
3779,2011-02-24
3780,2011-01-03
3781,2011-01-11
3782,2011-02-14
3783,2011-01-15
3784,2011-02-28
3785,2011-02-12
3786,2011-02-16
3787,2011-02-18
3788,2011-01-05
3789,2011-02-23
3790,2011-01-19
3791,2011-02-21
3792,2011-01-13
3793,2011-01-11
3794,2011-02-08
3795,2011-02-01
3796,2011-01-31
3797,2011-01-17
3798,2011-02-18
3799,2011-01-30
3800,2011-01-17
3801,2011-02-19
3802,2011-02-01
3803,2011-01-10
3804,2011-02-28
3805,2011-01-07
3806,2011-01-25
3807,2011-02-01
3808,2011-01-13
3809,2011-02-08
3810,2011-01-17
3811,2011-01-29
3812,2011-02-12
3813,2011-01-02
3814,2011-01-11
3815,2011-01-30
3816,2011-01-26
3817,2011-01-07
3818,2011-01-22
3819,2011-01-08
3820,2011-02-11
3821,2011-01-31
3822,2011-02-18
3823,2011-02-10
3824,2011-02-23
3825,2011-02-09
3826,2011-01-20
3827,2011-01-15
3828,2011-02-12
3829,2011-01-17
3830,2011-02-08
3831,2011-02-25
3832,2011-01-27
3833,2011-02-26
3834,2011-01-18
3835,2011-02-12
3836,2011-01-13
3837,2011-01-16
3838,2011-02-01
3839,2011-01-19
3840,2011-02-07
3841,2011-01-25
3842,2011-01-24
3843,2011-01-20
3844,2011-01-23
3845,2011-02-27
3846,2011-01-27
3847,2011-02-09
3848,2011-01-22
3849,2011-01-13
3850,2011-01-02
3851,2011-02-27
3852,2011-02-22
3853,2011-02-01
3854,2011-01-01
3855,2011-01-10
3856,2011-01-25
3857,2011-02-22
3858,2011-02-22
3859,2011-01-26
3860,2011-01-03
3861,2011-01-25
3862,2011-02-26
3863,2011-01-27
3864,2011-02-06
3865,2011-01-26
3866,2011-02-28
3867,2011-01-15
3868,2011-01-03
3869,2011-02-03
3870,2011-01-08
3871,2011-01-22
3872,2011-01-25
3873,2011-01-25
3874,2011-01-09
3875,2011-01-05
3876,2011-02-05
3877,2011-02-18
3878,2011-02-25
3879,2011-02-03
3880,2011-02-19
3881,2011-02-11
3882,2011-02-23
3883,2011-01-01
3884,2011-02-11
3885,2011-02-12
3886,2011-01-29
3887,2011-01-25
3888,2011-01-18
3889,2011-02-11
3890,2011-01-04
3891,2011-01-20
3892,2011-02-14
3893,2011-01-28
3894,2011-01-20
3895,2011-02-08
3896,2011-01-20
3897,2011-02-03
3898,2011-02-02
3899,2011-01-28
3900,2011-02-08
3901,2011-02-13
3902,2011-01-10
3903,2011-02-11
3904,2011-02-28
3905,2011-02-07
3906,2011-01-09
3907,2011-01-13
3908,2011-02-02
3909,2011-01-18
3910,2011-01-28
3911,2011-01-16
3912,2011-01-24
3913,2011-01-10
3914,2011-01-20
3915,2011-02-10
3916,2011-02-07
3917,2011-02-11
3918,2011-02-15
3919,2011-01-25
3920,2011-02-27
3921,2011-02-22
3922,2011-01-05
3923,2011-01-12
3924,2011-01-27
3925,2011-02-15
3926,2011-02-14
3927,2011-01-26
3928,2011-02-25
3929,2011-01-15
3930,2011-01-25
3931,2011-01-13
3932,2011-02-03
3933,2011-02-03
3934,2011-02-18
3935,2011-02-05
3936,2011-02-21
3937,2011-01-08
3938,2011-02-17
3939,2011-01-27
3940,2011-02-21
3941,2011-01-29
3942,2011-02-21
3943,2011-01-28
3944,2011-01-30
3945,2011-02-13
3946,2011-02-18
3947,2011-01-08
3948,2011-02-01
3949,2011-02-14
3950,2011-01-04
3951,2011-01-21
3952,2011-01-07
3953,2011-01-20
3954,2011-01-06
3955,2011-01-09
3956,2011-01-13
3957,2011-02-02
3958,2011-02-27
3959,2011-01-27
3960,2011-02-04
3961,2011-02-23
3962,2011-01-08
3963,2011-01-30
3964,2011-01-30
3965,2011-02-03
3966,2011-01-20
3967,2011-01-11
3968,2011-02-14
3969,2011-01-07
3970,2011-01-13
3971,2011-02-27
3972,2011-02-04
3973,2011-01-31
3974,2011-01-27
3975,2011-02-08
3976,2011-01-18
3977,2011-02-06
3978,2011-02-11
3979,2011-01-05
3980,2011-02-25
3981,2011-01-22
3982,2011-02-16
3983,2011-01-03
3984,2011-01-15
3985,2011-01-13
3986,2011-01-27
3987,2011-01-08
3988,2011-01-10
3989,2011-01-10
3990,2011-01-06
3991,2011-01-07
3992,2011-01-20
3993,2011-01-01
3994,2011-01-29
3995,2011-01-28
3996,2011-01-06
3997,2011-02-18
3998,2011-01-14
3999,2011-01-28
4000,2011-02-24
4001,2011-01-27
4002,2011-01-14
4003,2011-01-29
4004,2011-02-04
4005,2011-02-22
4006,2011-01-20
4007,2011-02-26
4008,2011-02-14
4009,2011-01-29
4010,2011-02-09
4011,2011-01-23
4012,2011-01-12
4013,2011-02-22
4014,2011-01-14
4015,2011-02-16
4016,2011-01-26
4017,2011-01-11
4018,2011-01-27
4019,2011-01-29
4020,2011-01-04
4021,2011-02-23
4022,2011-02-06
4023,2011-01-20
4024,2011-02-16
4025,2011-02-03
4026,2011-02-09
4027,2011-01-20
4028,2011-01-05
4029,2011-01-10
4030,2011-02-05
4031,2011-01-14
4032,2011-02-22
4033,2011-01-19
4034,2011-01-04
4035,2011-01-06
4036,2011-02-23
4037,2011-02-08
4038,2011-01-08
4039,2011-01-07
4040,2011-01-05
4041,2011-02-16
4042,2011-01-22
4043,2011-02-27
4044,2011-01-01
4045,2011-01-07
4046,2011-01-05
4047,2011-01-27
4048,2011-02-10
4049,2011-01-19
4050,2011-01-19
4051,2011-01-14
4052,2011-02-03
4053,2011-01-05
4054,2011-01-14
4055,2011-02-10
4056,2011-02-22
4057,2011-01-24
4058,2011-01-06
4059,2011-02-15
4060,2011-01-18
4061,2011-01-21
4062,2011-02-08
4063,2011-01-07
4064,2011-02-14
4065,2011-02-17
4066,2011-01-17
4067,2011-02-01
4068,2011-02-10
4069,2011-01-31
4070,2011-02-26
4071,2011-01-31
4072,2011-01-22
4073,2011-01-28
4074,2011-02-18
4075,2011-02-16
4076,2011-01-05
4077,2011-02-19
4078,2011-01-07
4079,2011-02-10
4080,2011-01-19
4081,2011-01-29
4082,2011-02-25
4083,2011-01-01
4084,2011-02-09
4085,2011-01-08
4086,2011-02-08
4087,2011-02-06
4088,2011-02-07
4089,2011-01-09
4090,2011-02-01
4091,2011-01-20
4092,2011-01-27
4093,2011-02-01
4094,2011-01-31
4095,2011-01-05
4096,2011-02-01
4097,2011-02-12
4098,2011-02-10
4099,2011-02-20
4100,2011-01-03
4101,2011-01-15
4102,2011-02-10
4103,2011-02-18
4104,2011-01-15
4105,2011-01-04
4106,2011-01-08
4107,2011-02-17
4108,2011-01-18
4109,2011-01-14
4110,2011-02-08
4111,2011-01-12
4112,2011-01-19
4113,2011-02-27
4114,2011-01-12
4115,2011-02-18
4116,2011-02-20
4117,2011-01-02
4118,2011-01-07
4119,2011-01-17
4120,2011-01-25
4121,2011-02-16
4122,2011-01-07
4123,2011-02-14
4124,2011-02-23
4125,2011-01-07
4126,2011-01-01
4127,2011-02-04
4128,2011-02-04
4129,2011-01-31
4130,2011-01-09
4131,2011-01-15
4132,2011-01-06
4133,2011-02-26
4134,2011-02-05
4135,2011-01-29
4136,2011-01-25
4137,2011-02-08
4138,2011-01-11
4139,2011-02-25
4140,2011-01-23
4141,2011-01-05
4142,2011-01-09
4143,2011-02-07
4144,2011-02-15
4145,2011-01-20
4146,2011-01-24
4147,2011-02-16
4148,2011-01-13
4149,2011-02-22
4150,2011-02-18
4151,2011-02-16
4152,2011-01-21
4153,2011-01-20
4154,2011-01-21
4155,2011-02-19
4156,2011-01-28
4157,2011-02-19
4158,2011-01-24
4159,2011-01-30
4160,2011-01-30
4161,2011-01-14
4162,2011-02-08
4163,2011-02-24
4164,2011-01-28
4165,2011-01-11
4166,2011-01-31
4167,2011-01-11
4168,2011-01-03
4169,2011-01-28
4170,2011-01-18
4171,2011-01-29
4172,2011-02-10
4173,2011-02-05
4174,2011-01-08
4175,2011-01-27
4176,2011-02-19
4177,2011-01-22
4178,2011-02-18
4179,2011-01-21
4180,2011-02-18
4181,2011-01-06
4182,2011-01-12
4183,2011-02-12
4184,2011-01-06
4185,2011-02-16
4186,2011-01-07
4187,2011-02-23
4188,2011-01-20
4189,2011-02-07
4190,2011-01-13
4191,2011-02-28
4192,2011-01-21
4193,2011-01-26
4194,2011-01-27
4195,2011-02-15
4196,2011-01-31
4197,2011-01-19
4198,2011-01-06
4199,2011-01-20
4200,2011-01-01
4201,2011-01-10
4202,2011-01-08
4203,2011-01-21
4204,2011-01-04
4205,2011-02-06
4206,2011-01-17
4207,2011-01-12
4208,2011-02-25
4209,2011-02-10
4210,2011-01-10
4211,2011-02-13
4212,2011-02-23
4213,2011-02-26
4214,2011-01-11
4215,2011-02-15
4216,2011-01-30
4217,2011-01-27
4218,2011-01-22
4219,2011-01-15
4220,2011-01-17
4221,2011-01-30
4222,2011-02-10
4223,2011-02-16
4224,2011-02-04
4225,2011-02-17
4226,2011-02-05
4227,2011-02-03
4228,2011-01-02
4229,2011-01-01
4230,2011-01-20
4231,2011-02-17
4232,2011-02-16
4233,2011-01-01
4234,2011-01-17
4235,2011-01-27
4236,2011-01-10
4237,2011-01-01
4238,2011-02-11
4239,2011-02-24
4240,2011-02-27
4241,2011-01-15
4242,2011-02-19
4243,2011-02-16
4244,2011-01-28
4245,2011-01-10
4246,2011-02-18
4247,2011-02-07
4248,2011-02-18
4249,2011-01-12
4250,2011-02-26
4251,2011-02-27
4252,2011-02-19
4253,2011-02-05
4254,2011-01-25
4255,2011-02-26
4256,2011-02-10
4257,2011-01-14
4258,2011-01-03
4259,2011-02-19
4260,2011-02-12
4261,2011-01-30
4262,2011-02-07
4263,2011-01-14
4264,2011-02-17
4265,2011-02-25
4266,2011-02-01
4267,2011-01-12
4268,2011-01-28
4269,2011-01-16
4270,2011-02-20
4271,2011-02-27
4272,2011-01-18
4273,2011-02-17
4274,2011-01-09
4275,2011-02-03
4276,2011-01-24
4277,2011-01-31
4278,2011-02-05
4279,2011-02-18
4280,2011-01-18
4281,2011-02-22
4282,2011-01-19
4283,2011-01-11
4284,2011-01-15
4285,2011-02-21
4286,2011-01-30
4287,2011-02-03
4288,2011-02-14
4289,2011-01-08
4290,2011-01-19
4291,2011-01-17
4292,2011-02-24
4293,2011-02-16
4294,2011-01-04
4295,2011-02-07
